"url","title","meta_description","canonical","jsonld_types","ad_slots","affiliate_links","videos"
"https://www.paulcee.co.uk/about-us.html","About Us","Paul cee metal detecting about us","https://www.paulcee.co.uk/about-us.html","","","",""
"https://www.paulcee.co.uk/anderson-carbon-fibre-shafts.php","Anderson Carbon Fibre shafts","Anderson Carbon fibre sandscoop shafts, very strong and come in a single part or a 2 part carbon travel sandscoop shaft, best for metal detecting beaches Uk","https://www.paulcee.co.uk/anderson-carbon-fibre-shafts.html","","","https://bit.ly/andrsonshfts",""
"https://www.paulcee.co.uk/beginners-guide-to-metal-detecting.html","beginners guide to metal detecting","Metal detecting for beginners, best metal detector for beginners, tips for beginners to metal detecting, beginner metal detecting, how to metal detect properly","https://www.paulcee.co.uk/beginners-guide-to-metal-detecting.html","VideoObject","","http://bit.ly/2VcUX0q","3U-rQCywjOg"
"https://www.paulcee.co.uk/coiltek-nox-18-inch-coil.html","Coiltek Nox 18 inch coil","Coilteks biggest search coil for the Minelab Equinox and X-Terra Pro detectors the NOX 18, waterproof to 5 Mtr, deep search coil with fantastic ground coverage","https://www.paulcee.co.uk/coiltek-nox-18-inch-coil.html","VideoObject","","https://www.crawfordsmd.com/coiltek-nox18?tracking=fa202437c9","Frvw6TdHhCg"
"https://www.paulcee.co.uk/contact.php","contact","Contact Paul Cee. for metal detecting help","https://www.paulcee.co.uk/contact.html","","","http://bit.ly/2VcUX0q",""
"https://www.paulcee.co.uk/crawfords-metal-detectors.html","Crawfords Metal Detectors | UK Minelab Distributor","Celebrating 30 years as the UK's leading metal detector specialists. Official Minelab distributors in Lincolnshire & Dorset. Expert advice for beginners to pros","https://www.paulcee.co.uk/crawfords-metal-detectors.html","VideoObject","","http://bit.ly/2VcUX0q",""
"https://www.paulcee.co.uk/ctx3030.html","CTX 3030","The ultimate guide to the Minelab CTX 3030. Explore FBS 2 technology, XChange 2 programming, available coils, and a detailed comparison vs the Minelab Manticore","https://www.paulcee.co.uk/ctx3030.html","","","https://www.crawfordsmd.com/Minelab-CTX3030-Special-pack?tracking=fa202437c9",""
"https://www.paulcee.co.uk/detecting-accessories.html","Metal Detecting cheap accessories","The must-have cheap detecting accessories. From budget pinpointers to tough digging tools, get essential gear to upgrade your hunt without breaking the bank.","https://www.paulcee.co.uk/detecting-accessories.html","","","https://www.crawfordsmd.com/cmd-pro-pouch?tracking=fa202437c9 https://www.crawfordsmd.com/field-multi-tool?tracking=fa202437c9 https://www.crawfordsmd.com/cmd-gift-voucher?tracking=fa202437c9 https://www.crawfordsmd.com/minelab-wm09?tracking=fa202437c9 https://www.crawfordsmd.com/cmd-spray-bottle?tracking=fa202437c9 https://www.crawfordsmd.com/rnb-power-x?tracking=fa202437c9",""
"https://www.paulcee.co.uk/detecting-rallies-2026.php","Detecting Rallies & Events","Discover the best Metal Detecting Rallies for 2026 in the UK and worldwide. Get the latest dates for major events like the Minelab 500, list your event for free","https://www.paulcee.co.uk/detecting-rallies-2026.html","VideoObject","","","syIbMDl9ZiA"
"https://www.paulcee.co.uk/detectival.html","Detectival","Metal Detecting Rally DETECTIVAL","https://www.paulcee.co.uk/detectival.html","VideoObject","","","vauNSRHsiMk 49lbEIUvU3c"
"https://www.paulcee.co.uk/emite-r-sand-scoops.html","Emite R Sand Scoops","Emite R sand scoops for beach metal detecting, cheap sand scoops for beach metal detecting in the UK","https://www.paulcee.co.uk/emite-r-sand-scoops.html","VideoObject","","https://www.crawfordsmd.com/metal-detecting-accessories/digging-tools/emiter-tools?tracking=fa202437c9","5-17EpIFG0M"
"https://www.paulcee.co.uk/evolution-spade.html","Evolution Spade","Evolution Pro Cut Metal Detecting Spade, a super strong shovel for digging metal detecting finds, one of the strongest shovels designed for metal detecting uk","https://www.paulcee.co.uk/evolution-spade.html","","","https://www.crawfordsmd.com/metal-detecting-accessories/digging-tools/evolution-spades/Evolution-pro-cut-spade?tracking=fa202437c9",""
"https://www.paulcee.co.uk/index.php","Paul Cee Metal Detecting","The UK's home for expert Minelab advice. Tutorials, detector settings, and reviews from Paul Cee, Minelab Detexpert and Crawfords Product Specialist.","https://www.paulcee.co.uk/index.html","WebSite LocalBusiness VideoObject","","https://www.crawfordsmd.com/metal-detectors/minelab?tracking=fa202437c9","nrMw2oEBDyQ 2blmefyIcgo"
